impact_category,unit,manufacturing,plant_setup,total,manufacturing_share,plant_setup_share
Abiotic resource depletion - elements,mg Sb-e/kWh,1.27,0.0,1.27,1.0,0.0
Abiotic resource depletion - fossils,MJ/kWh,0.09,0.01,0.1,0.8999999999999999,0.09999999999999999
Acidification potential,mg SO2-e/kWh,21.0,3.0,24.0,0.875,0.125
Eutrophication potential,mg PO4-e/kWh,1.9,0.5,2.4,0.7916666666666666,0.20833333333333334
Freshwater ecotoxicity,mg DCB-e/kWh,31.0,1.6,32.6,0.950920245398773,0.049079754601226995
Global warming potential,g CO2-e/kWh,7.1,0.4,7.5,0.9466666666666667,0.05333333333333334
Human toxicity,mg DCB-e/kWh,1313.0,11.0,1324.0,0.9916918429003021,0.008308157099697885
Marine ecotoxicity,g DCB-e/kWh,796.0,5.0,801.0,0.9937578027465668,0.006242197253433208
Photochemical smog,mg ethene/kWh,2.9,0.3,3.2,0.9062499999999999,0.09374999999999999
Terrestrial ecotoxicity,mg DCB-e/kWh,28.0,0.3,28.3,0.989399293286219,0.010600706713780918
